Transaction,Item
1,Bread
1,Milk
1,Butter
2,Bread
2,Eggs
3,Milk
3,Bread
3,Butter
4,Bread
4,Milk
4,Eggs
4,Cheese
5,Toothbrush
5,Toothpaste
6,Beer
6,Diapers
6,Chips
7,Bread
7,Butter
8,Milk
8,Cheese
8,Yogurt
9,Bread
9,Milk
9,Butter
9,Eggs
10,Toothbrush
10,Toothpaste
10,Mouthwash
11,Coffee
11,Sugar
11,Milk
12,Bread
12,Eggs
13,Beer
13,Diapers
13,Snacks
14,Bread
14,Milk
14,Butter
15,Toothbrush
15,Toothpaste
16,Cheese
16,Yogurt
16,Milk
17,Bread
17,Butter
18,Coffee
18,Sugar
19,Beer
19,Diapers
20,Bread
20,Milk
20,Eggs
21,Toothbrush
21,Toothpaste
21,Floss
22,Bread
22,Butter
23,Milk
23,Cheese
24,Coffee
24,Sugar
24,Milk
25,Bread
25,Milk
25,Butter
26,Beer
26,Diapers
26,Chips
27,Toothbrush
27,Toothpaste
28,Bread
28,Eggs
29,Milk
29,Yogurt
30,Bread
30,Milk
30,Butter
30,Eggs
